,SKU,keyword,Category,Mapped keyword
527,"Kid's Juniper Parka w/ Removable Fur Trim, XS-L","['kid', 'juniper', 'parka', 'w/', 'removable', 'fur', 'trim', 'xs-l']","Jackets, Coats, Parkas, and Bombers",parka
528,"Girl's Glacier Fleece Hooded Jacket, Size 6-24M","['girl', 'glacier', 'fleece', 'hooded', 'jacket', 'size', '6-24m']","Jackets, Coats, Parkas, and Bombers",jacket
529,"Kid's Snow Owl Parka w/ Removable Fur Trim, Size 2T-7","['kid', 'snow', 'owl', 'parka', 'w/', 'removable', 'fur', 'trim', 'size', '2t-7']","Jackets, Coats, Parkas, and Bombers",parka
530,"Boy's Logo Baseball Cap, Size S-L","['boy', 'logo', 'baseball', 'cap', 'size', 's-l']",Headwear and Neckwear,cap
531,"Girl's Quilted Sleeveless Vest, Size 8-14","['girl', 'quilted', 'sleeveless', 'vest', 'size', '8-14']",Vests,vest
532,Semi-Transparent Acetate Cat-Eye Sunglasses,"['semi-transparent', 'acetate', 'cat-eye', 'sunglasses']",,NA
533,Short Down Cardigan,"['short', 'down', 'cardigan']",,NA
534,Long-Sleeve Down Cardigan,"['long-sleeve', 'down', 'cardigan']",,NA
535,Bicolor Square Acetate Sunglasses,"['bicolor', 'square', 'acetate', 'sunglasses']",,NA
536,Square Gradient Arrow-Edge Sunglasses,"['square', 'gradient', 'arrow-edge', 'sunglasses']",,NA
537,Lorette Fur-Hood Down Parka Coat,"['lorette', 'fur-hood', 'down', 'parka', 'coat']","Jackets, Coats, Parkas, and Bombers",parka
538,75mm Plex Logo Extended Sole Mules,"['75mm', 'plex', 'logo', 'extended', 'sole', 'mules']",Footwear,mules
539,45mm Logo Flatform Sneakers,"['45mm', 'logo', 'flatform', 'sneakers']",Footwear,sneakers
540,Liane Quilted Vest,"['liane', 'quilted', 'vest']",Vests,vest
541,0PR 03YS Gradient Butterfly Sunglasses,"['0pr', '03ys', 'gradient', 'butterfly', 'sunglasses']",,NA
542,Nylon Shearling Mid-Top Sneakers,"['nylon', 'shearling', 'mid-top', 'sneakers']",Footwear,sneakers
543,Lannic Quilted Short Zip-Front Jacket,"['lannic', 'quilted', 'short', 'zip-front', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
544,Leather Logo Loafer Mules,"['leather', 'logo', 'loafer', 'mules']",Footwear,loafer
545,Calfskin Logo Flat Loafers,"['calfskin', 'logo', 'flat', 'loafers']",Footwear,loafers
546,Ghany Puffer Vest,"['ghany', 'puffer', 'vest']","Jackets, Coats, Parkas, and Bombers",puffer
547,Flammette High-Neck Puffer Coat,"['flammette', 'high-neck', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
548,Cheryne Lug-Sole Hiker Boots,"['cheryne', 'lug-sole', 'hiker', 'boots']",Footwear,boots
549,Leather Stiletto Slide Mules,"['leather', 'stiletto', 'slide', 'mules']",Footwear,mules
550,Zip-Up Hoodie Combo Cardigan,"['zip-up', 'hoodie', 'combo', 'cardigan']","Sweaters, Hoodies, Sweatshirts",hoodie
551,Zip-Up A-Line Utility Dress,"['zip-up', 'a-line', 'utility', 'dress']",,NA
552,Fairhaven Half-Zip Sweater,"['fairhaven', 'half-zip', 'sweater']","Sweaters, Hoodies, Sweatshirts",sweater
553,Ginette Waterproof Rubber Rain Boots,"['ginette', 'waterproof', 'rubber', 'rain', 'boots']",Rainwear,rain
554,Calfskin Chelsea Ankle Booties,"['calfskin', 'chelsea', 'ankle', 'booties']",,NA
555,Monolith Leather Lug-Sole Chelsea Booties,"['monolith', 'leather', 'lug-sole', 'chelsea', 'booties']",,NA
556,Quilted Dual-Grip Sporty Sandals,"['quilted', 'dual-grip', 'sporty', 'sandals']",Footwear,sandals
557,Saturna Merino Wool Sweater,"['saturna', 'merino', 'wool', 'sweater']","Sweaters, Hoodies, Sweatshirts",sweater
558,Oval Acetate Sunglasses,"['oval', 'acetate', 'sunglasses']",,NA
559,Barbel Hooded Puffer Coat,"['barbel', 'hooded', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
560,Expedition Multi-Pocket Parka Coat w/ Fur Hood,"['expedition', 'multi-pocket', 'parka', 'coat', 'w/', 'fur', 'hood']","Jackets, Coats, Parkas, and Bombers",parka
561,Oversized Acetate Cat-Eye Sunglasses,"['oversized', 'acetate', 'cat-eye', 'sunglasses']",,NA
562,Merano Cashmere Zip-Front Hoodie Sweater,"['merano', 'cashmere', 'zip-front', 'hoodie', 'sweater']","Sweaters, Hoodies, Sweatshirts",hoodie
563,Elmwood Long 9-Pocket Parka,"['elmwood', 'long', '9-pocket', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
564,Farren Detachable-Hood Lightweight Down Coat,"['farren', 'detachable-hood', 'lightweight', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
565,Padded Leather Sport Sandals,"['padded', 'leather', 'sport', 'sandals']",Footwear,sandals
566,Nylon Zip-Pouch High Sneakers,"['nylon', 'zip-pouch', 'high', 'sneakers']",Footwear,sneakers
567,Brouel Chevron Nylon Laque Down Quilted Jacket with Attached Hood,"['brouel', 'chevron', 'nylon', 'laque', 'down', 'quilted', 'jacket', 'with', 'attached', 'hood']","Jackets, Coats, Parkas, and Bombers",jacket
568,Sherbrooke Fur-Ruff Parka,"['sherbrooke', 'fur-ruff', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
569,Badyfur Puffer Jacket w/ Fur-Trim Hood,"['badyfur', 'puffer', 'jacket', 'w/', 'fur-trim', 'hood']","Jackets, Coats, Parkas, and Bombers",puffer
570,Calfskin Logo Flat Slide Sandals,"['calfskin', 'logo', 'flat', 'slide', 'sandals']",Footwear,sandals
571,Leather Zip Pocket Combat Booties,"['leather', 'zip', 'pocket', 'combat', 'booties']",,NA
572,PBI Abbott Zip-Up Puffer Hoodie Jacket,"['pbi', 'abbott', 'zip-up', 'puffer', 'hoodie', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
573,Avery A-Line Hooded Jacket,"['avery', 'a-line', 'hooded', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
574,Metal Butterfly Sunglasses,"['metal', 'butterfly', 'sunglasses']",,NA
575,Square Acetate Sunglasses,"['square', 'acetate', 'sunglasses']",,NA
576,Lorette Coyote Fur-Trim Hooded Parka,"['lorette', 'coyote', 'fur-trim', 'hooded', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
577,Fussbet Buckle Thong Sandals,"['fussbet', 'buckle', 'thong', 'sandals']",Footwear,thong
578,Adali Fur-Hood Down Puffer Coat,"['adali', 'fur-hood', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
579,Quilted Cardigan,"['quilted', 'cardigan']",,NA
580,Cozy Logo Slide Sandals,"['cozy', 'logo', 'slide', 'sandals']",Footwear,sandals
581,Quilted Leather Slingback Sporty Sandals,"['quilted', 'leather', 'slingback', 'sporty', 'sandals']",Footwear,sandals
582,Leather Zip Pocket Tall Combat Boots,"['leather', 'zip', 'pocket', 'tall', 'combat', 'boots']",Footwear,boots
583,Chelsea Fur-Hood Parka Coat,"['chelsea', 'fur-hood', 'parka', 'coat']","Jackets, Coats, Parkas, and Bombers",parka
584,Calina Zip-Front A-Line Down Coat,"['calina', 'zip-front', 'a-line', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
585,Cypress Black Disc Jacket,"['cypress', 'black', 'disc', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
586,Barbel Down-Fill Long Parka,"['barbel', 'down-fill', 'long', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
587,Riis Diamond-Quilt Jacket,"['riis', 'diamond-quilt', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
588,Fulmarus Fur-Trim Hood Chevron Puffer Coat,"['fulmarus', 'fur-trim', 'hood', 'chevron', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
589,Hybridge Lite Down-Fill Jacket,"['hybridge', 'lite', 'down-fill', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
590,Monolith Leather Logo Platform Loafers,"['monolith', 'leather', 'logo', 'platform', 'loafers']",Footwear,loafers
591,Ellison Packable Quilted Jacket,"['ellison', 'packable', 'quilted', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
592,Allacciate 45mm Triangle Nylon Platform Sneakers,"['allacciate', '45mm', 'triangle', 'nylon', 'platform', 'sneakers']",Footwear,sneakers
593,Cypress Hooded Puffer Jacket,"['cypress', 'hooded', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
594,Anguille Puffer Jacket with Fox Fur Trim,"['anguille', 'puffer', 'jacket', 'with', 'fox', 'fur', 'trim']","Jackets, Coats, Parkas, and Bombers",puffer
595,Rossclair Fur-Trim Hooded Down Parka,"['rossclair', 'fur-trim', 'hooded', 'down', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
596,Hybridge Base Jacket,"['hybridge', 'base', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
597,Suitcase Stripe Flat Sandals,"['suitcase', 'stripe', 'flat', 'sandals']",Footwear,sandals
598,Grenoble Goggles,"['grenoble', 'goggles']",,NA
599,Ginette Waterproof Logo Rain Booties,"['ginette', 'waterproof', 'logo', 'rain', 'booties']",Rainwear,rain
600,Hermine Hooded Puffer Jacket,"['hermine', 'hooded', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
601,Hermifur Fitted Puffer Coat w/ Removable Fur Hood,"['hermifur', 'fitted', 'puffer', 'coat', 'w/', 'removable', 'fur', 'hood']","Jackets, Coats, Parkas, and Bombers",puffer
602,Caramba Striped High-Rise Shorts,"['caramba', 'striped', 'high-rise', 'shorts']",Bottoms,shorts
603,Virgin Wool Rib-Knit Beanie,"['virgin', 'wool', 'rib-knit', 'beanie']",,NA
604,Cypress Puffer Jacket,"['cypress', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
605,Moka Shiny Fitted Puffer Coat with Hood,"['moka', 'shiny', 'fitted', 'puffer', 'coat', 'with', 'hood']","Jackets, Coats, Parkas, and Bombers",puffer
606,Emilia Mixed Leather Low-Top Sneakers,"['emilia', 'mixed', 'leather', 'low-top', 'sneakers']",Footwear,sneakers
607,Camp Hoody w/ Matte Finish,"['camp', 'hoody', 'w/', 'matte', 'finish']","Sweaters, Hoodies, Sweatshirts",hoody
608,Ribbed Wool Beanie with Fur Pompom,"['ribbed', 'wool', 'beanie', 'with', 'fur', 'pompom']",,NA
609,Crystal Logo Kitten-Heel Slide Sandals,"['crystal', 'logo', 'kitten-heel', 'slide', 'sandals']",Footwear,sandals
610,Causapcal Parka with Fox Fur,"['causapcal', 'parka', 'with', 'fox', 'fur']","Jackets, Coats, Parkas, and Bombers",parka
611,Leather Triangle Logo Loafers,"['leather', 'triangle', 'logo', 'loafers']",Footwear,loafers
612,Barbel Drawstring Puffer Jacket,"['barbel', 'drawstring', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
613,Alliston Hooded Puffer Jacket,"['alliston', 'hooded', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
614,Bles Hooded Puffer Jacket,"['bles', 'hooded', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
615,Ments Channel-Quilt Parka,"['ments', 'channel-quilt', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
616,Emerson Ribbed Pencil Skirt,"['emerson', 'ribbed', 'pencil', 'skirt']",,NA
617,Crystal Logo Block-Heel Loafers,"['crystal', 'logo', 'block-heel', 'loafers']",Footwear,loafers
618,Fussbet Shearling Slide Slippers,"['fussbet', 'shearling', 'slide', 'slippers']",,NA
619,Glyco Down-Fill Hooded Vest,"['glyco', 'down-fill', 'hooded', 'vest']","Sweaters, Hoodies, Sweatshirts",hooded
620,Belcarra Jacket,"['belcarra', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
621,Cypress Puffer Vest,"['cypress', 'puffer', 'vest']","Jackets, Coats, Parkas, and Bombers",puffer
622,Logo Triangle Kitten-Heel Sandals,"['logo', 'triangle', 'kitten-heel', 'sandals']",Footwear,sandals
623,50mm Logo Flatform Sneakers,"['50mm', 'logo', 'flatform', 'sneakers']",Footwear,sneakers
624,Mesh Logo Slingback Pumps,"['mesh', 'logo', 'slingback', 'pumps']",Footwear,pumps
625,HyBridge Lightweight Packable Jacket,"['hybridge', 'lightweight', 'packable', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
626,Carinne Calfskin Lug-Sole Combat Booties,"['carinne', 'calfskin', 'lug-sole', 'combat', 'booties']",,NA
627,Mesh Leather Logo Loafer Espadrilles,"['mesh', 'leather', 'logo', 'loafer', 'espadrilles']",Footwear,loafer
628,Dalles Detachable-Hood Boudin-Quilt Jacket,"['dalles', 'detachable-hood', 'boudin-quilt', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
629,Mystique Fur-Hood Parka,"['mystique', 'fur-hood', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
630,Rubber Logo Pool Sandals,"['rubber', 'logo', 'pool', 'sandals']",Footwear,sandals
631,Knit and Box-Quilt Cardigan,"['knit', 'and', 'box-quilt', 'cardigan']",,NA
632,Lans Collared Down Jacket,"['lans', 'collared', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
633,Shelburne Hooded Parka Coat,"['shelburne', 'hooded', 'parka', 'coat']","Jackets, Coats, Parkas, and Bombers",parka
634,Leather Low-Top Tennis Sneakers,"['leather', 'low-top', 'tennis', 'sneakers']",Footwear,sneakers
635,Reemar Short Down Jacket,"['reemar', 'short', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
636,Marrionnier Fur-Trim Long Parka,"['marrionnier', 'fur-trim', 'long', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
637,Elmira Water-Resistant Jacket,"['elmira', 'water-resistant', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
638,Heliotrope Long Puffer Coat,"['heliotrope', 'long', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
639,Lans Down-Fill Jacket,"['lans', 'down-fill', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
640,Muskoka Sweatpants,"['muskoka', 'sweatpants']",,NA
641,Calla Stretch Lightweight Down Jacket with Fur Ruff,"['calla', 'stretch', 'lightweight', 'down', 'jacket', 'with', 'fur', 'ruff']","Jackets, Coats, Parkas, and Bombers",jacket
642,Monolith Sharp Leather Lug-Sole Lace-Up Shoes,"['monolith', 'sharp', 'leather', 'lug-sole', 'lace-up', 'shoes']",Footwear,shoes
643,Alliston Packable Down-Fill Coat,"['alliston', 'packable', 'down-fill', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
644,Approach Puffer Jacket,"['approach', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
645,Salida Lightweight Hooded Jacket,"['salida', 'lightweight', 'hooded', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
646,Kenton Fur-Trim Hooded Parka,"['kenton', 'fur-trim', 'hooded', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
647,Suyen Down Quilted Nylon Hooded Parka,"['suyen', 'down', 'quilted', 'nylon', 'hooded', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
648,Geometric Acetate Sunglasses,"['geometric', 'acetate', 'sunglasses']",,NA
649,Nylon Zip-Pocket Platform Riding Boots,"['nylon', 'zip-pocket', 'platform', 'riding', 'boots']",Footwear,boots
650,Maire Shiny Puffer Jacket,"['maire', 'shiny', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
651,Roncy Recycled Nylon Quilted Jacket,"['roncy', 'recycled', 'nylon', 'quilted', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
652,Hybridge Lite Down Hoody Jacket,"['hybridge', 'lite', 'down', 'hoody', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
653,Fussbet 20mm Double Strap Sandals With Rubber Upper & Leather Sole,"['fussbet', '20mm', 'double', 'strap', 'sandals', 'with', 'rubber', 'upper', '&', 'leather', 'sole']",Footwear,sandals
654,Alliston Packable Down-Fill Parka,"['alliston', 'packable', 'down-fill', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
655,Tharon Hooded Logo Text Puffer Jacket,"['tharon', 'hooded', 'logo', 'text', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
656,Hudson Long Puffer Coat w/ Fur Hood,"['hudson', 'long', 'puffer', 'coat', 'w/', 'fur', 'hood']","Jackets, Coats, Parkas, and Bombers",puffer
657,55mm Block-Heel Combat Booties,"['55mm', 'block-heel', 'combat', 'booties']",,NA
658,Lane Bicolor Logo Sneakers,"['lane', 'bicolor', 'logo', 'sneakers']",Footwear,sneakers
659,Shelburne Parka with Fur Hood,"['shelburne', 'parka', 'with', 'fur', 'hood']","Jackets, Coats, Parkas, and Bombers",parka
660,Camp Hooded Jacket w/ Matte Finish,"['camp', 'hooded', 'jacket', 'w/', 'matte', 'finish']","Jackets, Coats, Parkas, and Bombers",jacket
661,Sterling Silver Heart Bracelet With Trademark,"['sterling', 'silver', 'heart', 'bracelet', 'with', 'trademark']",,NA
662,Quilted Lambskin Flatform Sandals,"['quilted', 'lambskin', 'flatform', 'sandals']",Footwear,sandals
663,GG Marmont Aged Silver Bracelet,"['gg', 'marmont', 'aged', 'silver', 'bracelet']",,NA
664,Aldridge,['aldridge'],,NA
665,Pasty Lightweight Down Stretch Coat with Fur Ruff,"['pasty', 'lightweight', 'down', 'stretch', 'coat', 'with', 'fur', 'ruff']","Jackets, Coats, Parkas, and Bombers",coat
666,Boule Toggle Bracelet,"['boule', 'toggle', 'bracelet']",,NA
667,Interlocking G 9mm Ring,"['interlocking', 'g', '9mm', 'ring']",JUNK,ring
668,"Oval Web GG Sunglasses, Yellow Pattern","['oval', 'web', 'gg', 'sunglasses', 'yellow', 'pattern']",,NA
669,Hybridge Knit Hooded Coat,"['hybridge', 'knit', 'hooded', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
670,"29mm G-Timeless Bee Watch with Bracelet Strap, Gold","['29mm', 'g-timeless', 'bee', 'watch', 'with', 'bracelet', 'strap', 'gold']",JUNK,watch
671,Square Monochromatic Sunglasses,"['square', 'monochromatic', 'sunglasses']",,NA
672,Rimless Square Metal Sunglasses,"['rimless', 'square', 'metal', 'sunglasses']",,NA
673,18K Gold Running G Stud Earrings,"['18k', 'gold', 'running', 'g', 'stud', 'earrings']",,NA
674,Mckenna Belted Jacket,"['mckenna', 'belted', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
675,GG Marmont Bracelet with Pink Resin,"['gg', 'marmont', 'bracelet', 'with', 'pink', 'resin']",,NA
676,GG Marmont Key Pendant Necklace,"['gg', 'marmont', 'key', 'pendant', 'necklace']",JUNK,necklace
677,PBI Expedition Hooded Parka,"['pbi', 'expedition', 'hooded', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
678,Trillium Down Parka Coat w/ Natural Coyote Fur Trim,"['trillium', 'down', 'parka', 'coat', 'w/', 'natural', 'coyote', 'fur', 'trim']","Jackets, Coats, Parkas, and Bombers",parka
679,Wool-Cashmere Belted Madame Coat,"['wool-cashmere', 'belted', 'madame', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
680,Engraved Heart Trademark Earrings,"['engraved', 'heart', 'trademark', 'earrings']",,NA
681,Hybridge Zip-Up Jacket,"['hybridge', 'zip-up', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
682,Seaboard Reflective-Sleeve Jacket,"['seaboard', 'reflective-sleeve', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
683,Glittered Square GG Sunglasses,"['glittered', 'square', 'gg', 'sunglasses']",,NA
684,GG Marmont Cabled Sterling Silver Band Ring,"['gg', 'marmont', 'cabled', 'sterling', 'silver', 'band', 'ring']",JUNK,ring
685,Square Acetate Sunglasses w/ Interlocking G Detail,"['square', 'acetate', 'sunglasses', 'w/', 'interlocking', 'g', 'detail']",,NA
686,GG Marmont Sterling Silver & Resin Necklace,"['gg', 'marmont', 'sterling', 'silver', '&', 'resin', 'necklace']",JUNK,necklace
687,Mystique Fur-Hood Parka - Fusion Fit,"['mystique', 'fur-hood', 'parka', '-', 'fusion', 'fit']","Jackets, Coats, Parkas, and Bombers",parka
688,"Classic Oversized Rectangular Sunglasses, Black","['classic', 'oversized', 'rectangular', 'sunglasses', 'black']",,NA
689,"Manuela Belted Camel Hair Coat, Camel","['manuela', 'belted', 'camel', 'hair', 'coat', 'camel']","Jackets, Coats, Parkas, and Bombers",coat
690,"Oversized Square Sunglasses, Black","['oversized', 'square', 'sunglasses', 'black']",,NA
691,Interlocking G Stud Earrings,"['interlocking', 'g', 'stud', 'earrings']",,NA
692,Cat-Eye Gradient Sunglasses,"['cat-eye', 'gradient', 'sunglasses']",,NA
693,"36mm G-Timeless Bee Watch with Bracelet Strap, Gold/Silver","['36mm', 'g-timeless', 'bee', 'watch', 'with', 'bracelet', 'strap', 'gold/silver']",JUNK,watch
694,Round Acetate Sunglasses,"['round', 'acetate', 'sunglasses']",,NA
695,Round Web Arm Sunglasses,"['round', 'web', 'arm', 'sunglasses']",,NA
696,Lilia Belted Cashmere Coat,"['lilia', 'belted', 'cashmere', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
697,"27mm G-Timeless Bracelet Watch w/ Feline Motif, Steel","['27mm', 'g-timeless', 'bracelet', 'watch', 'w/', 'feline', 'motif', 'steel']",JUNK,watch
698,Ellscott Lightweight Raincoat Jacket,"['ellscott', 'lightweight', 'raincoat', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
699,Kistsilano Lightweight Jacket,"['kistsilano', 'lightweight', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
700,Interlocking G Necklace in Aged Silver,"['interlocking', 'g', 'necklace', 'in', 'aged', 'silver']",JUNK,necklace
701,18k Yellow Gold Running G Star Earrings,"['18k', 'yellow', 'gold', 'running', 'g', 'star', 'earrings']",,NA
702,Mystique Long Hooded Puffer Parka Coat w/ Fur Trim,"['mystique', 'long', 'hooded', 'puffer', 'parka', 'coat', 'w/', 'fur', 'trim']","Jackets, Coats, Parkas, and Bombers",puffer
703,"Interlocking G Necklace, Silver","['interlocking', 'g', 'necklace', 'silver']",JUNK,necklace
704,Enamel Heart Pendant Necklace,"['enamel', 'heart', 'pendant', 'necklace']",JUNK,necklace
705,Square GG Injected Sunglasses,"['square', 'gg', 'injected', 'sunglasses']",,NA
706,Enamel Heart Stud Earrings,"['enamel', 'heart', 'stud', 'earrings']",,NA
707,Ghost 6mm Sterling Silver Ring,"['ghost', '6mm', 'sterling', 'silver', 'ring']",JUNK,ring
708,Running G Pave Diamond Stud Earrings in 18K White Gold,"['running', 'g', 'pave', 'diamond', 'stud', 'earrings', 'in', '18k', 'white', 'gold']",,NA
709,Colorblock Acetate Square Sunglasses,"['colorblock', 'acetate', 'square', 'sunglasses']",,NA
710,Interlocking-G Ring,"['interlocking-g', 'ring']",JUNK,ring
711,G-Frame Rectangular Mother-of-Pearl Watch w/ Mesh Strap,"['g-frame', 'rectangular', 'mother-of-pearl', 'watch', 'w/', 'mesh', 'strap']",JUNK,watch
712,Interlocking G Chain Necklace,"['interlocking', 'g', 'chain', 'necklace']",JUNK,necklace
713,Rossclair Parka Jacket Fusion Fit,"['rossclair', 'parka', 'jacket', 'fusion', 'fit']","Jackets, Coats, Parkas, and Bombers",parka
714,Colorblock Acetate Cat Eye Sunglasses,"['colorblock', 'acetate', 'cat', 'eye', 'sunglasses']",,NA
715,36mm G-Timeless Black Bee Watch with Bracelet Strap,"['36mm', 'g-timeless', 'black', 'bee', 'watch', 'with', 'bracelet', 'strap']",JUNK,watch
716,Blind for Love 9mm Sterling Silver Band Ring,"['blind', 'for', 'love', '9mm', 'sterling', 'silver', 'band', 'ring']",JUNK,ring
717,Stirling Hooded Parka Jacket w/ Fur Collar,"['stirling', 'hooded', 'parka', 'jacket', 'w/', 'fur', 'collar']","Jackets, Coats, Parkas, and Bombers",parka
718,Double-Breasted Camel Hair Blend Teddy Coat,"['double-breasted', 'camel', 'hair', 'blend', 'teddy', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
719,Interlocking G 6mm Ring,"['interlocking', 'g', '6mm', 'ring']",JUNK,ring
720,Logo Toque Beanie Hat w/ Pompom,"['logo', 'toque', 'beanie', 'hat', 'w/', 'pompom']",Headwear and Neckwear,toque
721,GG Marmont Stud Earrings in Aged Silver,"['gg', 'marmont', 'stud', 'earrings', 'in', 'aged', 'silver']",,NA
722,Link to Love Necklace in 18k Yellow Gold,"['link', 'to', 'love', 'necklace', 'in', '18k', 'yellow', 'gold']",JUNK,necklace
723,Oversized Rectangle Metal & Acetate Sunglasses,"['oversized', 'rectangle', 'metal', '&', 'acetate', 'sunglasses']",,NA
724,18k Diamond Pave Flora Ring,"['18k', 'diamond', 'pave', 'flora', 'ring']",JUNK,ring
725,Icon Band Ring in White,"['icon', 'band', 'ring', 'in', 'white']",JUNK,ring
726,GG Running 18k Gold Diamond Necklace,"['gg', 'running', '18k', 'gold', 'diamond', 'necklace']",JUNK,necklace
727,Pacifica Hooded Utility Jacket,"['pacifica', 'hooded', 'utility', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
728,Square Metal Sunglasses,"['square', 'metal', 'sunglasses']",,NA
729,"27mm G-Timeless Bracelet Watch w/ Feline Motif, Two-Tone","['27mm', 'g-timeless', 'bracelet', 'watch', 'w/', 'feline', 'motif', 'two-tone']",JUNK,watch
730,Oversized Acetate Butterfly Sunglasses,"['oversized', 'acetate', 'butterfly', 'sunglasses']",,NA
731,Oversized Square Metal Sunglasses,"['oversized', 'square', 'metal', 'sunglasses']",,NA
732,Sterling Silver GG Flower Ring,"['sterling', 'silver', 'gg', 'flower', 'ring']",JUNK,ring
733,18k Yellow Gold Running G Stud Earrings,"['18k', 'yellow', 'gold', 'running', 'g', 'stud', 'earrings']",,NA
734,Ghost 4mm Sterling Silver Ring,"['ghost', '4mm', 'sterling', 'silver', 'ring']",JUNK,ring
735,Engraved Heart Trademark Necklace,"['engraved', 'heart', 'trademark', 'necklace']",JUNK,necklace
736,Arctic Down Gloves,"['arctic', 'down', 'gloves']",Headwear and Neckwear,gloves
737,Blind for Love 5mm Sterling Silver Band Ring,"['blind', 'for', 'love', '5mm', 'sterling', 'silver', 'band', 'ring']",JUNK,ring
738,18k Gold GG Running Necklace,"['18k', 'gold', 'gg', 'running', 'necklace']",JUNK,necklace
739,Messi Wrap Coat,"['messi', 'wrap', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
740,Saskatchewan Zip-Front Quilted Puffer Coat w/ Pompoms,"['saskatchewan', 'zip-front', 'quilted', 'puffer', 'coat', 'w/', 'pompoms']","Jackets, Coats, Parkas, and Bombers",puffer
741,Hybridge Knit Puffer-Front Jacket,"['hybridge', 'knit', 'puffer-front', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
742,Oversized Rectangular Acetate Sunglasses,"['oversized', 'rectangular', 'acetate', 'sunglasses']",,NA
743,Oversized Square Injection Plastic Sunglasses,"['oversized', 'square', 'injection', 'plastic', 'sunglasses']",,NA
744,Kistsilano Printed Lightweight Jacket,"['kistsilano', 'printed', 'lightweight', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
745,GG Marmont & Flower Mismatched Sterling Silver Stud Earrings,"['gg', 'marmont', '&', 'flower', 'mismatched', 'sterling', 'silver', 'stud', 'earrings']",,NA
746,Abbott PBI Packable Hoody Jacket,"['abbott', 'pbi', 'packable', 'hoody', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
