,SKU,keyword,Category,Mapped keyword
371,Jazmin Belted Down Jacket,"['jazmin', 'belted', 'down', 'jacket']","Jackets, Coats, Parkas, and Bombers",jacket
372,Men's Ace GG Embossed Low Top Sneakers,"['men', 'ace', 'gg', 'embossed', 'low', 'top', 'sneakers']",Shirts and Tops,top
373,Freya Hooded Down Coat,"['freya', 'hooded', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
374,Men's Rhyton Vintage Stripe Low Top Sneakers,"['men', 'rhyton', 'vintage', 'stripe', 'low', 'top', 'sneakers']",Shirts and Tops,top
375,Men's ThermoBallâ„¢ Traction Mule V,"['men', 'thermoballa', 'traction', 'mule', 'v']",,NA
376,Reflective Down Mitts,"['reflective', 'down', 'mitts']",Headwear and Neckwear,mitts
377,Men's Monogram Low Top Sneakers,"['men', 'monogram', 'low', 'top', 'sneakers']",Shirts and Tops,top
378,Men's Jordaan Loafers,"['men', 'jordaan', 'loafers']",Footwear,loafers
379,Women's Lunarove Low Top Sneakers,"['women', 'lunarove', 'low', 'top', 'sneakers']",Shirts and Tops,top
380,Women's Ramsey Story Low Top Sneakers,"['women', 'ramsey', 'story', 'low', 'top', 'sneakers']",Shirts and Tops,top
381,Men's Off The Grid Gucci Tennis 1977 High Top Sneakers,"['men', 'off', 'the', 'grid', 'gucci', 'tennis', '1977', 'high', 'top', 'sneakers']",Shirts and Tops,top
382,Men's Agrado Slide Sandals,"['men', 'agrado', 'slide', 'sandals']",Footwear,sandals
383,Unisex Glacier Fleece Zip Hoodie - Big Kid,"['unisex', 'glacier', 'fleece', 'zip', 'hoodie', '-', 'big', 'kid']","Sweaters, Hoodies, Sweatshirts",hoodie
384,Colorblock Sweatshirt,"['colorblock', 'sweatshirt']",,NA
385,Men's Horsebit Loafers,"['men', 'horsebit', 'loafers']",Footwear,loafers
386,Black Label Roxboro Hooded Packable Short Down Coat,"['black', 'label', 'roxboro', 'hooded', 'packable', 'short', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
387,Davina Down Puffer Jacket,"['davina', 'down', 'puffer', 'jacket']","Jackets, Coats, Parkas, and Bombers",puffer
388,Moka Down Coat,"['moka', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
389,Ghany Down Vest,"['ghany', 'down', 'vest']",Vests,vest
390,Gie Hooded Packable Down Puffer Coat,"['gie', 'hooded', 'packable', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
391,Women's Eve Icon Stripe Slingback Sandals,"['women', 'eve', 'icon', 'stripe', 'slingback', 'sandals']",Footwear,sandals
392,Junction Quilted Parka,"['junction', 'quilted', 'parka']","Jackets, Coats, Parkas, and Bombers",parka
393,"Boys' Sherwood Down Jacket - Little Kid, Big Kid","[""boys'"", 'sherwood', 'down', 'jacket', '-', 'little', 'kid', 'big', 'kid']","Jackets, Coats, Parkas, and Bombers",jacket
394,Men's Ayrton Interlocking G Horsebit Drivers,"['men', 'ayrton', 'interlocking', 'g', 'horsebit', 'drivers']",,NA
395,Unisex Reversible Fleece Winter Gloves - Big Kid,"['unisex', 'reversible', 'fleece', 'winter', 'gloves', '-', 'big', 'kid']","Sweaters, Hoodies, Sweatshirts",fleece
396,Women's Furley Slide Sandals,"['women', 'furley', 'slide', 'sandals']",Footwear,sandals
397,Hybridge Hooded Down Coat,"['hybridge', 'hooded', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
398,Mixed Media Zip Cardigan,"['mixed', 'media', 'zip', 'cardigan']",,NA
399,Striped Wool Scarf,"['striped', 'wool', 'scarf']",Headwear and Neckwear,scarf
400,Unisex Ghany Down Vest - Little Kid,"['unisex', 'ghany', 'down', 'vest', '-', 'little', 'kid']",Vests,vest
401,Contrast Vintage Check Cotton Bandana,"['contrast', 'vintage', 'check', 'cotton', 'bandana']",,NA
402,Calina Down Maxi Coat,"['calina', 'down', 'maxi', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
403,Women's Logo Slide Sandals,"['women', 'logo', 'slide', 'sandals']",Footwear,sandals
404,Women's Salmond Vintage Check Low Top Sneakers,"['women', 'salmond', 'vintage', 'check', 'low', 'top', 'sneakers']",Shirts and Tops,top
405,Wool Fringe Scarf,"['wool', 'fringe', 'scarf']",Headwear and Neckwear,scarf
406,Women's Barbel Long Down Coat,"['women', 'barbel', 'long', 'down', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
407,Women's Thompson Vintage Check Slip On Sneakers,"['women', 'thompson', 'vintage', 'check', 'slip', 'on', 'sneakers']",Footwear,sneakers
408,Men's Interlocking G Loafers,"['men', 'interlocking', 'g', 'loafers']",Footwear,loafers
409,Women's Jack Vintage Check Platform Low Top Sneakers,"['women', 'jack', 'vintage', 'check', 'platform', 'low', 'top', 'sneakers']",Shirts and Tops,top
410,Fourmi Hooded Down Puffer Coat,"['fourmi', 'hooded', 'down', 'puffer', 'coat']","Jackets, Coats, Parkas, and Bombers",puffer
411,Beadnell Waxed Cotton Corduroy-Collar Coat,"['beadnell', 'waxed', 'cotton', 'corduroy-collar', 'coat']","Jackets, Coats, Parkas, and Bombers",coat
